Date,Name,Bank Holiday
2010-12-27,Boxing Day,1
2010-12-28,Christmas,1
2011-02-01,Hogmanay,0
2011-03-01,New Year's Day,1
2011-01-25,Robert Burns Night,0
2011-01-27,Holocaust Memorial Day,0
2011-02-14,Valentines Day,0
2011-01-03,St David's Day,0
2011-08-03,Shrove Tuesday,0
2011-09-03,Ash Wednesday,0
2011-03-17,St Patricks Day,0
2011-03-27,British Summertime Begins,0
2011-01-04,April Fool's Day,0
2011-03-04,Mothering Sunday,0
2011-04-21,Maundy Thursday,0
2011-04-22,Good Friday,1
2011-04-23,St George's Day,0
2011-04-24,Easter Sunday,0
2011-04-25,Easter Monday,1
2011-02-05,May Day,1
2011-05-30,Spring Bank Holiday,1
2011-06-14,Trooping the Colour,0
2011-06-19,Father's Day,0
2011-07-14,Emmeline Pankhurst Day,0
2011-07-15,St.Swithun's Day,0
2011-08-29,Summer Bank Holiday,1
2011-10-30,British Summertime Ends,0
2011-10-31,Halloween,0
2011-01-11,All Saints Day,0
2011-05-11,Guy Fawkes Night,0
2011-11-13,Remembrance Day ,0
2011-11-30,St Andrew's Day,0
